YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 02 23 00 175  7.4  9.4  0.94 10.00  4.12 999 1035.1   2.5   5.9  -1.6 99.0 99.00
2005 01 03 00 00 161  7.5  9.1  1.00  6.67  4.40 999 1034.3   2.4   5.9  -0.4 99.0 99.00
2005 01 03 01 00 157  8.6 10.2  1.05 10.00  4.22 999 1032.9   3.1   5.9   0.3 99.0 99.00
2005 01 03 02 00 161  9.3 11.0  1.11  3.70  4.24 999 1031.6   3.6   5.9   1.7 99.0 99.00
2005 01 03 03 00 170  8.9 10.2  1.17  3.70  4.21 999 1030.6   3.8   5.9   1.9 99.0 99.00
2005 01 03 04 00 170  6.9  8.2  1.14  4.35  4.36 999 1030.0   3.9   5.9   2.5 99.0 99.00
2005 01 03 05 00 180  6.0  7.4  0.98  4.35  4.23 999 1028.9   4.4   5.9   3.2 99.0 99.00
2005 01 03 06 00 195  7.9  9.4  0.95  4.55  4.18 999 1026.8   5.6   5.6   4.5 99.0 99.00
2005 01 03 07 00 209  7.2  8.7  0.89  4.55  4.23 999 1025.8   6.3   5.6   5.2 99.0 99.00
2005 01 03 08 00 215  9.7 11.4  0.94  4.35  3.73 999 1025.1   7.6   5.8   6.0 99.0 99.00
2005 01 03 09 00 227  9.0 10.9  1.01  3.33  3.61 999 1024.2   7.8   5.8   6.2 99.0 99.00
2005 01 03 10 00 231  7.3  8.9  1.01  4.35  3.67 999 1024.1   7.5   5.8   6.5 99.0 99.00
2005 01 03 11 00 236  6.8  8.1  0.90  4.35  3.67 999 1024.1   7.8   5.8   6.9 99.0 99.00
2005 01 03 12 00 228  5.8  7.0  0.74  2.70  3.51 999 1024.1   7.9   5.8   6.9 99.0 99.00
2005 01 03 13 00 233  5.7  6.5  0.66  3.70  3.53 999 1024.1   7.9   5.8   6.9 99.0 99.00
2005 01 03 14 00 248  4.8  5.6 99.00 99.00 99.00 999 1024.2   7.8   5.7   7.0 99.0 99.00
2005 01 03 15 00 252  4.6  5.1  0.54 10.00  3.81 999 1025.0   7.1   5.8   6.5 99.0 99.00
2005 01 03 16 00 232  4.2  4.8  0.47 10.00  4.14 999 1024.1   7.5   5.8   6.8 99.0 99.00
2005 01 03 17 00 243  2.3  2.9  0.46 10.00  4.43 999 1023.6   7.8   5.8   6.8 99.0 99.00
2005 01 03 18 00 252  3.4  3.8  0.46 10.00  4.72 999 1023.4   7.5   5.9   6.4 99.0 99.00
2005 01 03 19 00 213  0.7  1.4  0.45 10.00  5.01 999 1022.5   7.4   5.9   6.4 99.0 99.00
2005 01 03 20 00 234  2.5  2.8  0.41 10.00  5.03 999 1022.6   8.0   5.9   6.6 99.0 99.00
2005 01 03 21 00 267  1.3  1.6  0.41 10.00  5.11 999 1022.7   7.9   5.9   6.2 99.0 99.00
2005 01 03 22 00 322  0.7  1.0  0.38 10.00  5.29 999 1023.4   8.0   5.9   6.4 99.0 99.00
2005 01 03 23 00 304  2.1  2.5  0.33 10.00  5.45 999 1023.4   8.7   5.9   6.2 99.0 99.00
2005 01 04 00 00 176  1.9  2.3  0.32 11.11  5.85 999 1023.5   8.3   5.9   6.1 99.0 99.00
2005 01 04 01 00 150  2.1  2.3  0.35 10.00  6.23 999 1024.0   7.3   5.9   6.7 99.0 99.00
2005 01 04 02 00 180  0.0  0.3  0.36  9.09  6.67 999 1023.5   7.1   5.9   6.5 99.0 99.00
2005 01 04 03 00 140  1.0  1.3  0.33 10.00  6.64 999 1022.7   7.5   5.9   6.8 99.0 99.00
2005 01 04 04 00 137  1.0  1.5  0.39 10.00  7.37 999 1022.6   7.2   5.9   7.1 99.0 99.00
2005 01 04 05 00 142  1.5  2.0  0.36 11.11  6.78 999 1022.0   6.7   5.9   6.5 99.0 99.00
2005 01 04 06 00  32  0.5  0.9  0.39 10.00  6.66 999 1021.0   6.3   5.9   6.2 99.0 99.00
2005 01 04 07 00 344  3.1  3.6  0.40 10.00  6.50 999 1020.5   6.4   5.9   6.2 99.0 99.00
2005 01 04 08 00  20  5.6  6.5  0.40 10.00  6.10 999 1020.1   6.0   5.9   5.8 99.0 99.00
2005 01 04 09 00  10  5.5  6.3  0.42 10.00  5.26 999 1019.2   5.9   6.0   5.8 99.0 99.00
2005 01 04 10 00  12  6.5  8.0  0.60  2.63  3.56 999 1019.1   5.9   6.1   5.8 99.0 99.00
2005 01 04 11 00  17  5.8  7.1  0.63  2.94  3.48 999 1019.6   5.9   6.0   5.8 99.0 99.00
2005 01 04 12 00  37  6.6  7.4  0.63  3.03  3.56 999 1020.1   5.9   6.0   5.7 99.0 99.00
2005 01 04 13 00  28  5.0  5.7  0.71  3.23  3.54 999 1020.7   5.8   6.0   5.4 99.0 99.00
2005 01 04 14 00  12  4.8  5.8  0.66  3.33  3.68 999 1021.9   5.9   6.0   5.2 99.0 99.00
2005 01 04 15 00 348  5.3  6.4  0.70  3.57  3.88 999 1022.6   5.2   6.0   4.8 99.0 99.00
2005 01 04 16 00 355  5.5  6.2  0.74  4.00  3.87 999 1022.4   5.1   6.0   4.3 99.0 99.00
2005 01 04 17 00 353  4.6  5.3  0.73  4.00  3.90 999 1021.9   4.7   6.2   4.2 99.0 99.00
2005 01 04 18 00 350  4.1  5.1  0.70  4.17  3.96 999 1020.8   4.3   6.2   3.7 99.0 99.00
2005 01 04 19 00 340  5.3  6.3  0.74  4.35  4.10 999 1021.4   4.4   6.2   3.4 99.0 99.00
2005 01 04 20 00  34  3.0  3.7  0.72  4.00  4.13 999 1021.9   4.4   6.2   3.3 99.0 99.00
2005 01 04 21 00  70  2.0  2.5  0.73  4.35  4.18 999 1021.9   4.4   6.2   3.5 99.0 99.00
2005 01 04 22 00 108  2.7  3.3  0.67  4.35  4.24 999 1022.0   4.7   6.2   3.6 99.0 99.00
2005 01 04 23 00  81  1.0  1.3  0.71 11.11  4.50 999 1022.6   4.8   6.2   3.6 99.0 99.00
2005 01 05 00 00 103  1.2  2.1  0.66  4.76  4.63 999 1022.6   4.8   6.0   3.6 99.0 99.00
2005 01 05 01 00 159  2.0  2.6  0.66  5.00  4.74 999 1022.6   5.1   5.9   3.9 99.0 99.00
2005 01 05 02 00 162  2.6  3.1  0.68  5.26  5.04 999 1022.5   4.8   5.9   4.0 99.0 99.00
2005 01 05 03 00 173  4.7  5.7  0.62  5.56  5.14 999 1021.5   4.8   5.9   4.2 99.0 99.00
2005 01 05 04 00 222  5.7  6.5  0.61 10.00  5.30 999 1021.1   4.7   5.9   4.5 99.0 99.00
2005 01 05 05 00 270  7.3  8.5  0.63  5.56  5.46 999 1021.1   4.9   5.9   2.5 99.0 99.00
2005 01 05 06 00 276  6.8  7.9  0.66  5.88  4.29 999 1020.6   4.8   5.9   1.9 99.0 99.00
2005 01 05 07 00 267  6.0  6.9  0.68  5.88  3.95 999 1021.0   4.7   5.9   1.4 99.0 99.00
2005 01 05 08 00 284  7.3  9.0  0.76  5.88  3.76 999 1020.7   4.0   5.9   0.5 99.0 99.00
2005 01 05 09 00 293  6.6  7.9  0.71  2.86  3.55 999 1020.1   3.6   5.9   0.5 99.0 99.00
2005 01 05 10 00 309  6.5  8.0  0.58  2.78  3.55 999 1019.6   3.2   5.9  -0.3 99.0 99.00
2005 01 05 11 00 316  6.6  7.8  0.58  2.78  3.48 999 1020.2   3.2   5.9  -0.2 99.0 99.00
2005 01 05 12 00 335  5.9  7.3  0.66  3.03  3.44 999 1020.8   2.9   5.9  -0.2 99.0 99.00
2005 01 05 13 00 347  8.0  9.8  0.59  2.78  3.43 999 1021.7   2.5   5.9  -0.5 99.0 99.00
2005 01 05 14 00 360  7.0  8.3  0.67  3.03  3.43 999 1022.1   0.8   5.9  -0.8 99.0 99.00
2005 01 05 15 00 358  7.9  9.2  0.78  3.33  3.57 999 1022.7   0.1   5.9  -0.4 99.0 99.00
2005 01 05 16 00  12  8.1  9.7  0.83  3.57  3.80 999 1023.4  -0.3   5.9  -0.4 99.0 99.00
2005 01 05 17 00 360  5.2  6.6  0.76  3.33  3.65 999 1022.1  -0.3   5.9  -0.4 99.0 99.00
2005 01 05 18 00  15  4.9  5.8  0.60  6.67  4.18 999 1021.2   0.0   5.9  -0.2 99.0 99.00
2005 01 05 19 00  16  6.0  7.5  0.72  3.03  3.72 999 1021.0   0.1   5.9  -0.1 99.0 99.00
2005 01 05 20 00  18  5.5  7.2  0.82  3.70  3.83 999 1021.9   0.1   5.9  -0.7 99.0 99.00
2005 01 05 21 00  11  5.8  7.2  0.87  3.85  3.94 999 1022.5   0.1   5.9  -1.3 99.0 99.00
2005 01 05 22 00  16  5.5  6.8  0.89  4.55  3.97 999 1022.0   0.1   5.9  -1.4 99.0 99.00
2005 01 05 23 00 344  5.4  6.5  0.79  4.55  4.03 999 1022.7   0.0   5.9  -2.4 99.0 99.00
2005 01 06 00 00 340  4.9  6.1  0.87  5.26  4.18 999 1022.6   0.0   5.9  -2.9 99.0 99.00
2005 01 06 01 00 341  7.0  8.5  0.76  5.00  4.11 999 1022.8  -0.6   5.9  -6.9 99.0 99.00
2005 01 06 02 00 340  6.3  7.4  0.79  3.03  3.80 999 1022.8  -0.8   5.9  -7.0 99.0 99.00
2005 01 06 03 00 341  5.7  7.3  0.81  2.86  3.94 999 1023.2  -0.9   5.9  -6.4 99.0 99.00
2005 01 06 04 00 344  6.9  8.2  0.72  2.78  3.75 999 1022.7  -0.9   5.9  -6.1 99.0 99.00
2005 01 06 05 00 347  5.5  7.2  0.78  3.03  3.76 999 1022.6  -1.0   5.9  -5.7 99.0 99.00
2005 01 06 06 00 339  5.8  7.0  0.80  3.03  3.81 999 1022.1  -0.8   5.8  -4.7 99.0 99.00
2005 01 06 07 00 344  4.7  7.0  0.80  7.14  3.78 999 1021.9  -0.2   5.8  -2.7 99.0 99.00
2005 01 06 08 00  66  3.4  4.7  0.70  5.26  4.29 999 1022.1  -0.7   5.8  -1.1 99.0 99.00
2005 01 06 09 00  45  8.5 10.4  1.10  4.00  3.92 999 1021.1  -1.2   5.8  -1.8 99.0 99.00
2005 01 06 10 00  42  8.1  9.6  1.15  4.55  3.94 999 1021.2  -1.1   5.9  -1.8 99.0 99.00
2005 01 06 11 00  55  8.0  9.2  1.15  5.00  4.11 999 1021.5  -1.1   5.9  -1.8 99.0 99.00
2005 01 06 12 00  65  7.0  8.7  1.13  4.76  4.13 999 1021.3  -0.7   5.9  -1.2 99.0 99.00
2005 01 06 13 00  72  6.8  8.7  1.01  5.00  3.97 999 1020.9  -0.2   5.9  -0.9 99.0 99.00
2005 01 06 14 00  89  7.4  9.0  1.14  4.17  4.04 999 1020.3   0.1   5.9  -0.7 99.0 99.00
2005 01 06 15 00  83  9.2 10.6  1.12  4.00  4.01 999 1019.4   0.6   5.9   0.2 99.0 99.00
2005 01 06 16 00  91  8.6 10.3  1.22  4.35  4.00 999 1018.8   0.6   5.8   0.2 99.0 99.00
2005 01 06 17 00  82  9.8 11.3  1.47  4.76  4.22 999 1016.5   0.9   5.8   0.8 99.0 99.00
2005 01 06 18 00  85  9.2 11.0  1.61  5.26  4.38 999 1015.7   1.2   5.8   0.7 99.0 99.00
2005 01 06 19 00  77  8.5 10.5  1.74  5.56  4.51 999 1015.0   1.4   5.8   0.8 99.0 99.00
2005 01 06 20 00  84 10.3 12.3  1.95  6.25  4.78 999 1013.0   2.1   5.8   1.9 99.0 99.00
2005 01 06 21 00  85 11.0 13.0  1.99  5.88  4.73 999 1011.3   2.8   5.8   2.6 99.0 99.00
2005 01 06 22 00  82  9.7 11.4  2.16  6.25  4.89 999 1010.4   3.3   5.8   3.1 99.0 99.00
2005 01 06 23 00  85  8.5 10.1  2.15  6.67  5.03 999 1009.5   3.9   5.8   3.8 99.0 99.00
2005 01 07 00 00  64  6.2  7.9  2.35  6.67  5.47 999 1009.2   4.3   5.8   4.0 99.0 99.00
2005 01 07 01 00  84  4.4  7.7  2.19  7.14  5.42 999 1007.3   4.8   5.8   4.4 99.0 99.00
2005 01 07 02 00 360  4.2  4.9  2.04  7.14  5.52 999 1007.2   4.7   5.8   4.4 99.0 99.00
2005 01 07 03 00 322  5.3  6.4  1.76  7.14  5.56 999 1007.9   3.9   5.8   3.8 99.0 99.00
2005 01 07 04 00 340  4.9  5.5  1.78  7.69  5.92 999 1007.9   3.9   5.8   3.7 99.0 99.00
2005 01 07 05 00 327  4.5  5.6  1.74  7.69  5.67 999 1008.7   1.2   5.8   1.1 99.0 99.00
2005 01 07 06 00 299  1.0  2.2  1.66  8.33  5.80 999 1008.4   0.9   5.6   0.7 99.0 99.00
2005 01 07 07 00 278  2.9  4.4  1.60  8.33  6.16 999 1009.0   1.3   5.6   1.1 99.0 99.00
2005 01 07 08 00 232  3.0  4.4  1.39  7.69  5.88 999 1009.0   1.3   5.6   1.1 99.0 99.00
2005 01 07 09 00 249  5.7  7.1  1.45  8.33  6.31 999 1009.3   2.6   5.6   2.5 99.0 99.00
2005 01 07 10 00 261  7.0  8.7  1.28  7.69  5.59 999 1010.1   3.0   5.6   2.2 99.0 99.00
2005 01 07 11 00 269  9.1 11.9  1.29  8.33  4.64 999 1011.3   3.5   5.7   1.8 99.0 99.00
2005 01 07 12 00 279 11.5 14.1  1.38  7.69  4.55 999 1012.6   3.6   5.8   0.5 99.0 99.00
2005 01 07 13 00 278 12.8 17.0  1.26  8.33  4.06 999 1013.6   3.1   5.8  -3.0 99.0 99.00
2005 01 07 14 00 273 13.0 17.3  1.43  4.35  3.99 999 1015.5   3.0   5.8  -2.8 99.0 99.00
2005 01 07 15 00 280 13.4 17.6  1.44  4.17  3.95 999 1017.0   2.8   5.8  -3.6 99.0 99.00
2005 01 07 16 00 289 12.4 15.0  1.47  4.35  4.06 999 1018.1   2.6   5.6  -3.5 99.0 99.00
2005 01 07 17 00 284 10.9 13.5  1.18  4.17  3.75 999 1018.7   2.7   5.6  -3.1 99.0 99.00
2005 01 07 18 00 285  9.8 12.7  1.07  3.85  3.71 999 1019.0   3.1   5.5  -2.8 99.0 99.00
2005 01 07 19 00 310 11.4 13.1  0.98  3.70  3.48 999 1020.0   3.6   5.5  -4.4 99.0 99.00
2005 01 07 20 00 309  9.8 12.6  1.00  3.85  3.52 999 1021.6   3.5   5.5  -4.6 99.0 99.00
2005 01 07 21 00 315  9.6 11.7  0.93  3.57  3.45 999 1022.7   3.4   5.5  -5.3 99.0 99.00
2005 01 07 22 00 320  9.1 11.9  0.93  3.33  3.45 999 1023.9   2.9   5.6  -7.9 99.0 99.00
2005 01 07 23 00 314  9.4 11.7  0.94  3.57  3.52 999 1025.6   2.6   5.6  -7.5 99.0 99.00
2005 01 08 00 00 311  7.4  9.0  0.89  3.45  3.42 999 1025.8   2.5   5.6  -7.6 99.0 99.00
2005 01 08 01 00 312  5.6  6.6  0.64  3.13  3.29 999 1026.7   2.5   5.8  -6.3 99.0 99.00
2005 01 08 02 00 311  4.9  5.8  0.49  2.86  3.24 999 1026.8   2.4   5.7  -8.2 99.0 99.00
2005 01 08 03 00 313  5.0  6.2  0.36  2.63  3.58 999 1026.8   2.3   5.7  -8.9 99.0 99.00
2005 01 08 04 00 314  4.1  5.3 99.00 99.00 99.00 999 1027.3   2.0   5.6  -8.7 99.0 99.00
2005 01 08 05 00 304  3.6  5.3  0.36  8.33  3.97 999 1027.4   1.9   5.6  -9.9 99.0 99.00
2005 01 08 06 00 302  3.4  4.7  0.32  7.69  4.54 999 1027.4   1.7   5.6  -9.9 99.0 99.00
2005 01 08 07 00 294  2.9  3.7  0.33 10.00  5.03 999 1027.7   1.6   5.6  -9.5 99.0 99.00
2005 01 08 08 00 263  1.1  2.2  0.32  8.33  5.26 999 1027.4   1.3   5.6  -4.7 99.0 99.00
2005 01 08 09 00 246  1.7  2.4  0.31  9.09  5.52 999 1027.2   1.3   5.6  -4.9 99.0 99.00
2005 01 08 10 00 234  1.1  1.8  0.30 10.00  5.40 999 1027.1   1.4   5.6  -6.6 99.0 99.00
2005 01 08 11 00 168  2.7  3.4  0.32 10.00  5.45 999 1026.5   1.8   5.6  -7.3 99.0 99.00
2005 01 08 12 00 140  3.6  4.4  0.32 10.00  5.35 999 1025.8   2.2   5.6  -9.8 99.0 99.00
2005 01 08 13 00 149  4.3  5.2  0.32  9.09  5.41 999 1025.8   2.4   5.6  -9.8 99.0 99.00
2005 01 08 14 00 158  5.2  6.2  0.31 10.00  4.81 999 1025.2   2.1   5.6  -6.1 99.0 99.00
2005 01 08 15 00 161  4.3  5.5  0.35  9.09  4.27 999 1024.6   2.3   5.6  -3.9 99.0 99.00
2005 01 08 16 00 164  4.6  5.9  0.34 10.00  4.04 999 1023.8   2.5   5.6  -2.5 99.0 99.00
2005 01 08 17 00 142  4.8  5.7  0.49  2.78  3.30 999 1022.2   2.2   5.6  -1.0 99.0 99.00
2005 01 08 18 00 165  4.3  5.9  0.52  2.94  3.38 999 1021.7   2.1   5.6   0.9 99.0 99.00
2005 01 08 19 00 129  5.2  6.1  0.53  3.03  3.64 999 1020.0   2.0   5.5   1.7 99.0 99.00
2005 01 08 20 00  89  4.9  6.2  0.52  3.23  3.66 999 1018.8   2.4   5.5   1.7 99.0 99.00
2005 01 08 21 00  40  3.1  4.3  0.55  3.57  3.72 999 1019.2   2.4   5.5   1.3 99.0 99.00
2005 01 08 22 00  36  7.1  8.3  0.50  3.23  3.80 999 1017.9   2.0   5.5   1.7 99.0 99.00
2005 01 08 23 00  25  9.3 10.8  0.88  2.94  3.24 999 1017.3   2.4   5.5   1.4 99.0 99.00
2005 01 09 00 00 360  9.6 11.1  1.06  3.85  3.58 999 1018.8   2.1   5.6   1.4 99.0 99.00
2005 01 09 01 00 348 10.9 13.1  1.22  4.17  3.73 999 1019.7   1.1   5.6   0.9 99.0 99.00
2005 01 09 02 00 355  9.9 11.5  1.37  4.17  3.91 999 1020.6   0.7   5.6   0.1 99.0 99.00
2005 01 09 03 00 350 10.7 12.7  1.43  4.55  4.05 999 1021.0   0.2   5.6  -0.4 99.0 99.00
2005 01 09 04 00 346  8.4 10.6  1.44  5.00  4.20 999 1023.0   0.0   5.6  -0.9 99.0 99.00
2005 01 09 05 00 332  8.7 10.5  1.55  5.56  4.47 999 1023.6  -0.6   5.6  -1.6 99.0 99.00
2005 01 09 06 00 353  9.0 11.3  1.47  5.56  4.46 999 1023.6   0.5   5.6  -1.1 99.0 99.00
2005 01 09 07 00 330  8.5 10.7  1.44  5.88  4.45 999 1025.0  -0.3   5.6  -1.6 99.0 99.00
2005 01 09 08 00 341  8.2  9.6  1.71  5.88  4.79 999 1025.8   0.0   5.6  -3.6 99.0 99.00
2005 01 09 09 00 335  8.6  9.8  1.74  6.25  4.67 999 1026.6   0.1   5.6  -1.3 99.0 99.00
2005 01 09 10 00 345  8.0  9.8  1.83  6.25  4.83 999 1026.4   0.0   5.6  -1.8 99.0 99.00
2005 01 09 11 00 334  8.2  9.8  1.80  6.25  4.84 999 1027.7   0.0   5.6  -1.7 99.0 99.00
2005 01 09 12 00 327  6.1  7.6  1.76  6.67  4.86 999 1028.9  -0.3   5.6  -2.5 99.0 99.00
2005 01 09 13 00 332  7.0  8.6  1.58  6.67  4.74 999 1029.8  -0.4   5.6  -2.5 99.0 99.00
2005 01 09 14 00 339  6.2  7.4  1.59  6.25  4.79 999 1030.4   0.0   5.6  -2.4 99.0 99.00
2005 01 09 15 00 340  5.9  7.3  1.44  7.14  4.80 999 1030.5   0.2   5.6  -2.2 99.0 99.00
2005 01 09 16 00 334  6.5  7.6  1.34  6.25  4.84 999 1030.4   0.1   5.6  -1.8 99.0 99.00
2005 01 09 17 00 349  6.0  7.0  1.26  6.67  4.55 999 1029.8   0.8   5.6  -1.7 99.0 99.00
2005 01 09 18 00 352  4.5  5.9  1.21  6.25  4.72 999 1029.3   1.4   5.6  -1.9 99.0 99.00
2005 01 09 19 00  61  4.4  5.7  1.44  7.14  5.35 999 1029.6   1.7   5.6  -3.0 99.0 99.00
2005 01 09 20 00  66  3.0  4.5  1.39  7.14  5.54 999 1029.1   1.7   5.6  -3.9 99.0 99.00
2005 01 09 21 00  89  3.6  5.3  1.52  7.14  5.79 999 1028.9   1.7   5.6  -3.9 99.0 99.00
2005 01 09 22 00  73  2.6  3.8  1.68  6.67  5.98 999 1028.9   1.7   5.5  -3.7 99.0 99.00
2005 01 09 23 00 145  1.7  3.8  1.57  6.67  5.87 999 1029.0   1.7   5.6  -3.4 99.0 99.00
2005 01 10 00 00 232  1.7  2.9  1.37  7.14  5.73 999 1028.6   1.3   5.6  -1.9 99.0 99.00
2005 01 10 01 00 177  1.1  2.4  1.31  7.14  5.55 999 1028.3   1.5   5.6  -2.2 99.0 99.00
2005 01 10 02 00 195  2.1  3.1  1.19  7.14  5.57 999 1027.4   1.6   5.6  -1.9 99.0 99.00
2005 01 10 03 00 175  2.8  3.9  1.29  7.14  5.87 999 1027.2   1.7   5.6  -2.1 99.0 99.00
2005 01 10 04 00 151  1.7  3.0  1.16  7.14  5.81 999 1026.1   1.7   5.6  -2.4 99.0 99.00
2005 01 10 05 00 180  2.3  3.5  1.04  7.69  5.88 999 1025.1   1.7   5.6  -1.9 99.0 99.00
2005 01 10 06 00 192  3.1  4.3  0.98  7.14  5.97 999 1024.3   2.1   5.6  -1.6 99.0 99.00
2005 01 10 07 00 210  3.4  4.2  0.95  7.69  6.19 999 1024.1   1.3   5.6  -0.5 99.0 99.00
2005 01 10 08 00 217  3.5  4.4  0.85  7.69  6.05 999 1023.3   1.0   5.6   0.3 99.0 99.00
2005 01 10 09 00 188  3.8  4.8  0.83  6.67  6.10 999 1021.8   1.2   5.6   0.0 99.0 99.00
2005 01 10 10 00 199  4.9  6.0  0.84  7.69  6.19 999 1020.5   1.2   5.6   0.4 99.0 99.00
2005 01 10 11 00 201  6.8  8.2  0.91  6.67  5.59 999 1019.5   1.2   5.6   0.4 99.0 99.00
