NA,uid,city_id,city_dev_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience_years,company_size,company_type,last_new_job,training_hours,change_job
25,19667,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,1,46,0
26,9179,city_48,0.493,NA,No relevent experience,no_enrollment,Graduate,STEM,2,NA,NA,1,23,0
27,27894,city_41,0.827,Male,Has relevent experience,Part time course,Masters,STEM,>20,1000-4999,Public Sector,>4,46,0
28,20350,city_21,0.624,NA,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,134,0
29,22548,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,Other,16,100-500,Other,never,174,1
30,14304,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,1,72,0
31,20162,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,>4,40,0
32,16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,NA,1,46,0
33,25666,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,NA,1,2,0
34,16028,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,NA,NA,1,222,0
35,27758,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,NA,<10,Pvt Ltd,>4,19,0
36,6468,city_115,0.789,NA,Has relevent experience,no_enrollment,Graduate,STEM,14,500-999,Pvt Ltd,1,48,1
37,20598,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,NA,NA,1,74,1
38,16968,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,56,0
39,13067,city_114,0.926,NA,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Pvt Ltd,NA,7,1
40,20981,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,2,3,1
41,4528,city_152,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,16,1000-4999,Pvt Ltd,2,16,0
42,1128,city_100,0.887,NA,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,12,1
43,29187,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,NA,NA,2,13,0
44,15075,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,500-999,NA,2,214,0
45,15730,city_16,0.91,NA,Has relevent experience,no_enrollment,Graduate,STEM,5,NA,Pvt Ltd,>4,48,0
46,7593,city_103,0.92,NA,No relevent experience,no_enrollment,Primary School,NA,5,NA,NA,never,25,0
47,11933,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,1,46,1
48,17370,city_19,0.682,NA,No relevent experience,no_enrollment,Graduate,STEM,2,NA,NA,1,72,1
49,2832,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,4,29,0
50,31918,city_10,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,1,80,0
51,15825,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,91,0
52,9744,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,NA,NA,2,324,0
53,32148,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,Pvt Ltd,>4,51,0
54,11,city_103,0.92,Male,Has relevent experience,Part time course,Primary School,NA,11,NA,NA,4,20,0
55,26718,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,11,1000-4999,NGO,1,160,0
56,13494,city_16,0.91,NA,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,33,0
57,33196,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,500-999,Pvt Ltd,2,42,0
58,16729,city_16,0.91,NA,Has relevent experience,no_enrollment,Graduate,STEM,17,NA,NA,1,43,0
59,8360,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,31,0
60,29865,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,>4,36,0
61,21168,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,125,0
62,1460,city_165,0.903,NA,Has relevent experience,no_enrollment,Graduate,Arts,6,100-500,Pvt Ltd,never,20,0
63,20051,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,2,83,0
64,3251,city_123,0.738,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,never,40,0
65,21481,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,3,164,1
66,26040,city_73,0.754,NA,No relevent experience,no_enrollment,High School,NA,6,NA,NA,1,148,1
67,22482,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,1,17,0
68,455,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Funded Startup,2,52,0
69,6071,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,10/49,Pvt Ltd,1,258,0
70,15281,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,NA,>20,NA,NA,>4,9,0
71,2857,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,2,89,0
72,6240,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,18,100-500,Pvt Ltd,>4,61,0
73,7374,city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,2,77,0
74,14947,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,21,0
75,28453,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,18,0
76,29531,city_114,0.926,Female,No relevent experience,Part time course,Graduate,STEM,1,10000+,Pvt Ltd,1,33,0
77,32140,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,82,0
78,1697,city_160,0.92,Male,Has relevent experience,Full time course,High School,NA,8,100-500,Pvt Ltd,1,13,0
79,2142,city_76,0.698,NA,Has relevent experience,no_enrollment,High School,NA,5,<10,Funded Startup,1,44,0
80,910,city_9,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,7,<10,Funded Startup,1,17,1
81,28483,city_53,0.74,NA,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,63,1
82,14652,city_75,0.939,Male,No relevent experience,no_enrollment,Primary School,NA,2,NA,NA,never,103,0
83,4064,city_160,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,18,NA,NA,1,198,1
84,604,city_16,0.91,Male,No relevent experience,NA,NA,NA,3,NA,NA,never,24,0
85,13339,city_21,0.624,Male,No relevent experience,Part time course,Graduate,Other,<1,10/49,Pvt Ltd,1,10,1
86,4434,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Early Stage Startup,NA,32,0
87,2277,city_104,0.924,Male,No relevent experience,Full time course,High School,NA,3,NA,Pvt Ltd,never,30,0
88,17514,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,>4,6,0
89,28785,city_114,0.926,Male,No relevent experience,Full time course,High School,NA,5,10000+,Pvt Ltd,1,2,0
90,11964,city_101,0.558,Male,No relevent experience,Full time course,Graduate,Other,4,NA,NA,1,43,1
91,28668,city_103,0.92,NA,No relevent experience,Part time course,Graduate,STEM,10,NA,NA,1,16,1
92,16907,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,22,0
93,20296,city_160,0.92,Female,Has relevent experience,Full time course,Graduate,STEM,5,NA,NA,4,41,1
94,13777,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,22,0
95,24422,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,98,0
96,3343,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,1,76,0
97,32914,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,2,NA,NA,1,12,1
98,30710,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,9,NA,NA,1,286,1
99,8661,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,3,0
100,13266,city_19,0.682,NA,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Early Stage Startup,1,32,0
101,17261,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,1,14,0
102,10117,city_67,0.855,NA,No relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,75,0
103,32065,city_173,0.878,Male,Has relevent experience,no_enrollment,High School,NA,6,50-99,Pvt Ltd,1,29,1
104,19692,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,87,1
105,6753,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,500-999,Pvt Ltd,1,18,0
106,102,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Funded Startup,>4,37,0
107,6146,city_160,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Pvt Ltd,1,102,0
108,599,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,3,6,0
109,17347,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,7,0
110,10430,city_103,0.92,NA,No relevent experience,no_enrollment,Phd,STEM,>20,NA,NA,1,3,0
111,48,city_23,0.899,NA,Has relevent experience,no_enrollment,Graduate,STEM,2,NA,Pvt Ltd,1,37,0
112,10073,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,3,7,1
113,25436,city_103,0.92,Male,Has relevent experience,Part time course,Masters,STEM,12,100-500,Pvt Ltd,3,13,0
114,15020,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,500-999,Pvt Ltd,>4,70,0
115,17674,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,>4,8,1
116,25270,city_114,0.926,Male,No relevent experience,Full time course,High School,NA,4,10000+,Pvt Ltd,never,30,0
117,13568,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,500-999,Pvt Ltd,2,17,0
118,1957,city_160,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,12,NA,NA,1,65,1
119,27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,NA,NA,24,1
120,27585,city_21,0.624,NA,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,1,112,0
121,2109,city_104,0.924,Other,Has relevent experience,Full time course,High School,NA,4,<10,Pvt Ltd,1,8,0
122,15782,city_103,0.92,NA,No relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,1,23,0
123,26416,city_21,0.624,Male,No relevent experience,Full time course,High School,NA,2,NA,NA,never,3,0
124,28198,city_50,0.896,Male,No relevent experience,Full time course,Graduate,STEM,6,NA,NA,never,92,1
125,11802,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Early Stage Startup,1,57,0
126,10392,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Other,>4,53,0
127,19584,city_114,0.926,NA,Has relevent experience,no_enrollment,Masters,STEM,>20,NA,NA,1,68,0
128,7290,city_28,0.939,NA,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,1,94,0
129,6247,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,17,10/49,Pvt Ltd,1,18,0
130,20313,city_103,0.92,Female,No relevent experience,no_enrollment,High School,NA,<1,NA,NA,never,48,0
131,24870,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,Pvt Ltd,2,22,0
132,32062,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Funded Startup,1,34,0
133,17491,city_116,0.743,NA,Has relevent experience,no_enrollment,High School,NA,6,500-999,Pvt Ltd,1,24,0
134,32089,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,5000-9999,Pvt Ltd,2,20,0
135,6374,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,<10,Pvt Ltd,1,87,1
136,8140,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,STEM,<1,100-500,Pvt Ltd,1,53,0
137,21344,city_19,0.682,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,4,18,0
138,29702,city_116,0.743,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,>4,7,0
139,7256,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,Humanities,4,NA,NA,1,88,1
140,10936,city_114,0.926,NA,Has relevent experience,no_enrollment,High School,NA,10,<10,Pvt Ltd,1,85,0
141,6702,city_40,0.776,Female,No relevent experience,Full time course,Graduate,Other,1,100-500,NA,1,34,0
142,20541,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,NA,1,37,1
143,15986,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,NA,NA,2,21,0
144,25094,city_11,0.55,NA,Has relevent experience,Part time course,Graduate,STEM,6,NA,NA,2,16,1
145,12369,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1,87,1
146,4380,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,18,0
147,5939,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,2,24,0
148,13099,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,2,26,1
149,19953,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,8,NA,NA,4,56,0
150,15319,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,15,0
151,25086,city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,4,118,0
152,20223,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,never,10,1
153,16145,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,>4,41,0
154,25046,city_21,0.624,NA,Has relevent experience,NA,Graduate,STEM,<1,10/49,NA,NA,8,1
155,11798,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,1,NA,NA,never,19,0
156,3891,city_33,0.448,Male,No relevent experience,Full time course,High School,NA,4,NA,NA,never,31,0
157,7609,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Pvt Ltd,1,39,0
158,23898,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,2,128,0
159,4141,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,20,0
160,29923,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,NA,NA,1,109,1
161,17325,city_21,0.624,NA,No relevent experience,NA,High School,NA,2,NA,NA,1,88,0
162,23643,city_103,0.92,NA,No relevent experience,Full time course,Graduate,STEM,6,NA,NA,1,117,1
163,30190,city_126,0.479,NA,Has relevent experience,Part time course,Phd,STEM,>20,NA,NA,>4,40,0
164,1484,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,5000-9999,Pvt Ltd,>4,7,0
165,8313,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,3,40,0
166,4457,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,>4,40,0
167,27913,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,3,47,0
168,8386,city_36,0.893,NA,Has relevent experience,Full time course,Graduate,STEM,<1,500-999,Pvt Ltd,1,50,0
169,3665,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,11,0
170,16086,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,67,0
171,15471,city_89,0.925,Male,No relevent experience,Full time course,High School,NA,<1,NA,NA,never,204,0
172,5860,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Funded Startup,3,30,0
173,20429,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Other,9,10000+,Pvt Ltd,>4,132,1
174,30691,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16,5000-9999,Pvt Ltd,never,194,0
175,22563,city_136,0.897,NA,No relevent experience,NA,NA,NA,2,NA,NA,1,63,0
176,13688,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,NA,45,1
177,27748,city_160,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,2,NA,NA,1,36,1
178,16192,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,>4,25,0
179,15080,city_53,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,Pvt Ltd,2,232,0
180,2750,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,2,92,0
181,33095,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,19,50-99,Pvt Ltd,1,25,0
182,12579,city_50,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,NA,Pvt Ltd,>4,34,0
183,23485,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,STEM,2,100-500,NGO,1,29,0
184,14141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,1,18,0
185,52,city_114,0.926,NA,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,3,55,0
186,16706,city_103,0.92,NA,No relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,2,148,0
187,13133,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,>4,90,0
188,19488,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Early Stage Startup,1,5,0
189,24733,city_41,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,NA,NA,>4,298,0
190,24436,city_21,0.624,Male,Has relevent experience,no_enrollment,High School,NA,14,10/49,Pvt Ltd,>4,3,1
191,26673,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,12,0
192,25302,city_144,0.84,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,>4,20,0
193,20002,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,23,0
194,21497,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,never,11,1
195,10467,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Public Sector,>4,42,0
196,24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0
197,19855,city_64,0.666,Male,Has relevent experience,Part time course,NA,NA,5,50-99,Pvt Ltd,2,116,0
198,6518,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,1,28,0
199,22543,city_50,0.896,Male,Has relevent experience,no_enrollment,Masters,Humanities,10,50-99,Pvt Ltd,1,31,0
200,12326,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,1,10,0
201,4583,city_50,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,4,7,0
202,4327,city_75,0.939,Male,Has relevent experience,no_enrollment,High School,NA,5,<10,Pvt Ltd,1,12,0
203,5565,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,>4,168,1
204,32237,city_67,0.855,Male,No relevent experience,no_enrollment,High School,NA,8,NA,NA,never,31,0
205,30971,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11,NA,NA,1,62,1
206,9958,city_73,0.754,NA,Has relevent experience,no_enrollment,Graduate,Business Degree,11,NA,NA,4,30,1
207,10257,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,160,0
208,18572,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,>4,98,0
209,1084,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,222,0
210,27558,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,NA,NA,2,224,1
211,9036,city_21,0.624,Male,Has relevent experience,Full time course,Phd,STEM,4,10/49,NGO,2,17,0
212,19485,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,3,10/49,Pvt Ltd,2,40,0
213,14305,city_72,0.795,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,16,0
214,32593,city_114,0.926,Male,No relevent experience,Full time course,High School,NA,6,NA,NA,1,102,1
215,30050,city_100,0.887,Male,No relevent experience,no_enrollment,High School,NA,>20,10000+,Pvt Ltd,>4,33,0
216,15919,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,110,0
217,27224,city_173,0.878,Other,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,9,0
218,9759,city_67,0.855,Female,Has relevent experience,Full time course,Graduate,STEM,2,<10,Early Stage Startup,1,49,0
219,2356,city_105,0.794,NA,Has relevent experience,no_enrollment,Graduate,STEM,4,NA,NA,2,5,0
220,16982,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,4,210,0
221,12564,city_100,0.887,NA,No relevent experience,no_enrollment,Graduate,Other,15,NA,NA,>4,12,0
222,11343,city_126,0.479,NA,No relevent experience,Full time course,Graduate,Other,3,NA,NA,3,11,1
223,26844,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,1,103,0
224,19273,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,7,NA,NA,2,10,0
225,20566,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,NA,1,36,0
226,21430,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,2,123,1
227,16229,city_160,0.92,Male,No relevent experience,no_enrollment,Primary School,NA,3,NA,NA,never,138,0
228,2856,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,4,108,0
229,24900,city_21,0.624,NA,No relevent experience,Full time course,Masters,STEM,<1,NA,NA,never,55,0
230,15735,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,11,1000-4999,Public Sector,>4,50,0
231,18953,city_103,0.92,Male,No relevent experience,Full time course,High School,NA,11,10/49,Public Sector,1,44,0
232,4759,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,Pvt Ltd,1,12,1
233,7354,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,8,0
234,2911,city_39,0.898,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Public Sector,1,3,0
235,30589,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,3,196,1
236,20264,city_73,0.754,NA,No relevent experience,no_enrollment,High School,NA,1,NA,NA,never,59,0
237,18326,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,2,NA,NA,2,25,1
238,11019,city_28,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,161,0
239,16348,city_21,0.624,NA,No relevent experience,Part time course,Masters,STEM,1,<10,Public Sector,NA,54,0
240,30804,city_104,0.924,Male,No relevent experience,no_enrollment,Graduate,Arts,>20,NA,NA,2,258,1
