"","V1","uid","city_dev_index","gender","relevant_experience","enrolled_university","education_level","major_discipline","experience_years","company_size","company_type","last_new_job","training_hours","experience_level","pred_rf"
"20",20,22293,0.92,"Male","Has relevent experience","Part time course","Graduate","STEM",19,"5000-9999","Pvt Ltd",">4",141,"Y4","0"
"21",21,4324,0.92,"Female","No relevent experience","Full time course","Graduate","STEM",5,"10000+","Public Sector","1",24,"Y2","0"
"22",22,26966,0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","Pvt Ltd",">4",82,"Y4","0"
"23",23,4866,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"10/49","Early Stage Startup","2",206,"Y3","0"
"24",24,8612,0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",12,"10000+","Pvt Ltd","4",50,"Y3","0"
"25",25,2547,0.926,"Female","Has relevent experience","Full time course","Masters","STEM",16,"1000-4999","Public Sector","2",14,"Y4","0"
"26",26,13854,0.924,"Male","Has relevent experience","no_enrollment","High School","STEM",4,"10/49","Pvt Ltd","2",36,"Y2","0"
"27",27,31654,0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM",6,"50-99","Early Stage Startup","1",112,"Y2","1"
"28",28,5590,0.624,"Male","Has relevent experience","Part time course","Masters","STEM",9,"5000-9999","Pvt Ltd","3",7,"Y2","0"
"29",29,9006,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","never",87,"Y2","1"
"30",30,25987,0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",19,"10000+","Public Sector","4",52,"Y4","0"
"31",31,25103,0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM",11,"10/49","Pvt Ltd","1",21,"Y3","0"
"32",32,5568,0.558,"Male","No relevent experience","no_enrollment","Graduate","STEM",4,"10/49","Early Stage Startup","1",92,"Y2","1"
"33",33,2195,0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"100-500","Pvt Ltd","2",102,"Y3","0"
"34",34,30533,0.794,"Male","No relevent experience","no_enrollment","Graduate","Humanities",5,"10000+","Pvt Ltd",">4",26,"Y2","0"
"35",35,28512,0.924,"Male","Has relevent experience","no_enrollment","Masters","STEM",3,"<10","Early Stage Startup","2",7,"Y1","0"
"36",36,1023,0.926,"Male","No relevent experience","Full time course","High School","STEM",4,"10000+","Pvt Ltd","1",43,"Y2","0"
"37",37,13238,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"5000-9999","Pvt Ltd","2",19,"Y4","0"
"38",38,18578,0.767,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",22,"100-500","Pvt Ltd",">4",26,"Y4","0"
"39",39,29975,0.855,"Male","Has relevent experience","Part time course","Graduate","STEM",6,"50-99","Pvt Ltd","1",90,"Y2","0"
"40",40,26516,0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"100-500","Pvt Ltd","3",25,"Y2","0"
"41",41,24690,0.827,"Male","Has relevent experience","no_enrollment","Masters","STEM",13,"<10","Early Stage Startup","1",15,"Y3","0"
"42",42,8433,0.887,"Male","Has relevent experience","no_enrollment","Masters","Humanities",22,"100-500","Pvt Ltd",">4",48,"Y4","0"
"43",43,9572,0.55,"Male","No relevent experience","Full time course","High School","STEM",3,"50-99","Pvt Ltd","never",98,"Y1","1"
"44",44,5878,0.865,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"50-99","Pvt Ltd","2",142,"Y3","0"
"45",45,9645,0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Pvt Ltd",">4",47,"Y3","0"
"46",46,17271,0.624,"Male","No relevent experience","Full time course","Graduate","STEM",0,"<10","Pvt Ltd","never",18,"Y1","1"
"47",47,12731,0.827,"Male","Has relevent experience","no_enrollment","Graduate","STEM",2,"10/49","Pvt Ltd","1",29,"Y1","0"
"48",48,10908,0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM",5,"100-500","Funded Startup","1",46,"Y2","0"
"49",49,29117,0.55,"Male","No relevent experience","Full time course","Graduate","STEM",0,"<10","Early Stage Startup","never",12,"Y1","1"
"50",50,3686,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","2",17,"Y2","0"
"51",51,22683,0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM",5,"50-99","Pvt Ltd","2",65,"Y2","0"
"52",52,5987,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Pvt Ltd",">4",12,"Y3","0"
"53",53,25413,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"10/49","Pvt Ltd","1",27,"Y2","0"
"54",54,5902,0.796,"Male","Has relevent experience","Part time course","Masters","STEM",4,"50-99","Funded Startup","1",74,"Y2","0"
"55",55,28403,0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"10/49","Early Stage Startup","1",86,"Y3","0"
"56",56,30937,0.866,"Female","No relevent experience","Part time course","Graduate","STEM",0,"10/49","Pvt Ltd","2",83,"Y1","0"
"57",57,28751,0.92,"Male","No relevent experience","Full time course","High School","STEM",4,"10000+","Pvt Ltd","3",75,"Y2","0"
"58",58,32401,0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",6,"100-500","Pvt Ltd","1",332,"Y2","0"
"59",59,29036,0.91,"Male","No relevent experience","no_enrollment","High School","STEM",3,"10000+","Pvt Ltd","never",182,"Y1","0"
"60",60,16869,0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities",3,"100-500","Pvt Ltd","1",13,"Y1","0"
"61",61,18099,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"100-500","NGO","1",48,"Y3","0"
"62",62,7016,0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"50-99","Pvt Ltd","2",14,"Y2","0"
"63",63,6172,0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM",8,"100-500","Pvt Ltd","1",24,"Y2","1"
"64",64,14672,0.878,"Male","No relevent experience","no_enrollment","Masters","STEM",22,"10000+","Pvt Ltd","1",150,"Y4","0"
"65",65,18257,0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",11,"500-999","NGO",">4",20,"Y3","0"
"66",66,24493,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"500-999","Pvt Ltd","1",140,"Y2","0"
"67",67,28627,0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"50-99","Pvt Ltd","2",160,"Y4","0"
"68",68,25349,0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"1000-4999","Pvt Ltd",">4",28,"Y4","0"
"69",69,5220,0.754,"Male","Has relevent experience","no_enrollment","Graduate","Other",22,"100-500","Pvt Ltd","4",46,"Y4","0"
"70",70,27963,0.949,"Male","No relevent experience","Full time course","Graduate","STEM",4,"5000-9999","Public Sector","1",160,"Y2","0"
"71",71,8571,0.624,"Male","Has relevent experience","Full time course","Graduate","STEM",2,"10/49","NGO","2",101,"Y1","1"
"72",72,32966,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"100-500","Pvt Ltd","2",26,"Y1","0"
"73",73,14199,0.92,"Male","Has relevent experience","Part time course","Graduate","Business Degree",10,"50-99","Funded Startup","1",260,"Y3","0"
"74",74,7666,0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM",11,"50-99","Pvt Ltd",">4",74,"Y3","1"
"75",75,13915,0.91,"Male","Has relevent experience","no_enrollment","Phd","STEM",22,"100-500","Pvt Ltd","2",20,"Y4","0"
"76",76,10555,0.878,"Male","Has relevent experience","no_enrollment","Graduate","STEM",12,"100-500","Pvt Ltd","2",8,"Y3","0"
"77",77,13253,0.693,"Male","Has relevent experience","Full time course","Graduate","STEM",11,"10/49","Pvt Ltd","2",109,"Y3","1"
"78",78,28074,0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","NGO",">4",17,"Y4","0"
"79",79,23012,0.92,"Female","No relevent experience","no_enrollment","Masters","STEM",15,"50-99","Pvt Ltd","1",51,"Y3","0"
"80",80,16110,0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",6,"50-99","Pvt Ltd","3",60,"Y2","0"
"81",81,3921,0.893,"Male","No relevent experience","no_enrollment","Phd","STEM",22,"1000-4999","Public Sector",">4",4,"Y4","0"
"82",82,23947,0.92,"Male","No relevent experience","no_enrollment","Phd","STEM",6.54940476190476,"5000-9999","Pvt Ltd","1",70,"Y2","0"
"83",83,3116,0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM",3,"10000+","Pvt Ltd","1",24,"Y1","1"
"84",84,24829,0.92,"Male","No relevent experience","no_enrollment","Masters","Humanities",3,"10000+","Pvt Ltd","1",133,"Y1","0"
"85",85,22098,0.698,"Female","No relevent experience","Full time course","Masters","STEM",5,"100-500","Pvt Ltd","4",21,"Y2","0"
"86",86,13342,0.624,"Female","Has relevent experience","no_enrollment","Graduate","Other",8,"5000-9999","Pvt Ltd","2",34,"Y2","1"
"87",87,20081,0.866,"Male","No relevent experience","no_enrollment","Graduate","STEM",22,"500-999","Pvt Ltd",">4",156,"Y4","0"
"88",88,24796,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"5000-9999","Pvt Ltd",">4",15,"Y4","0"
"89",89,4283,0.92,"Male","No relevent experience","no_enrollment","High School","STEM",4,"10000+","Pvt Ltd","never",52,"Y2","0"
"90",90,18998,0.926,"Male","Has relevent experience","no_enrollment","High School","STEM",9,"10/49","Pvt Ltd","4",39,"Y2","0"
"91",91,31786,0.92,"Male","No relevent experience","no_enrollment","Phd","STEM",22,"50-99","Pvt Ltd",">4",14,"Y4","0"
"92",92,12154,0.91,"Male","Has relevent experience","no_enrollment","Masters","Arts",22,"1000-4999","NGO",">4",55,"Y4","0"
"93",93,23455,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"10000+","Pvt Ltd","4",49,"Y2","1"
"94",94,28817,0.925,"Male","Has relevent experience","Full time course","Graduate","STEM",14,"5000-9999","Pvt Ltd","3",141,"Y3","0"
"95",95,7280,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13,"10000+","Pvt Ltd","1",6,"Y3","0"
"96",96,26241,0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",22,"100-500","Pvt Ltd","2",33,"Y4","0"
"97",97,3766,0.698,"Male","No relevent experience","no_enrollment","Graduate","STEM",22,"500-999","Pvt Ltd",">4",32,"Y4","0"
"98",98,29497,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"10000+","Public Sector",">4",87,"Y4","0"
"99",99,31593,0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM",10,"100-500","Pvt Ltd","4",114,"Y3","0"
"100",100,12384,0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","Pvt Ltd",">4",33,"Y4","0"
"101",101,11986,0.698,"Male","Has relevent experience","Part time course","Masters","STEM",5,"<10","Early Stage Startup","1",15,"Y2","0"
"102",102,3728,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"5000-9999","Pvt Ltd","4",13,"Y4","0"
"103",103,3024,0.949,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"<10","Public Sector","1",246,"Y4","0"
"104",104,23508,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",9,"10/49","Pvt Ltd","1",22,"Y2","0"
"105",105,29457,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"<10","Funded Startup","1",81,"Y4","0"
"106",106,12297,0.776,"Male","Has relevent experience","Full time course","Graduate","STEM",4,"10/49","Funded Startup","1",11,"Y2","0"
"107",107,3065,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","Funded Startup","1",50,"Y4","0"
"108",108,2891,0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"50-99","Pvt Ltd","never",84,"Y4","0"
"109",109,32509,0.897,"Male","Has relevent experience","Part time course","Graduate","STEM",4,"10000+","Pvt Ltd","1",42,"Y2","0"
"110",110,31841,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"10/49","Pvt Ltd",">4",105,"Y3","1"
"111",111,29526,0.789,"Male","Has relevent experience","no_enrollment","Graduate","STEM",14,"10/49","Pvt Ltd",">4",42,"Y3","0"
"112",112,10956,0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Early Stage Startup","1",152,"Y3","0"
"113",113,26099,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",12,"10000+","Pvt Ltd","1",60,"Y3","0"
"114",114,26163,0.624,"Male","No relevent experience","Full time course","Masters","STEM",2,"<10","Early Stage Startup","never",8,"Y1","1"
"115",115,4120,0.91,"Male","No relevent experience","Full time course","Masters","STEM",13,"1000-4999","Public Sector","3",17,"Y3","0"
"116",116,706,0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM",4,"100-500","Funded Startup","never",38,"Y2","0"
"117",117,9890,0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",14,"<10","Early Stage Startup","2",178,"Y3","0"
"118",118,27104,0.893,"Male","Has relevent experience","no_enrollment","High School","STEM",22,"500-999","Pvt Ltd","never",87,"Y4","0"
"119",119,7731,0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13,"10/49","Early Stage Startup","never",84,"Y3","0"
"120",120,31943,0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"100-500","Early Stage Startup","2",32,"Y4","0"
"121",121,33339,0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM",2,"500-999","Public Sector","1",39,"Y1","1"
"122",122,20866,0.775,"Male","Has relevent experience","no_enrollment","Graduate","STEM",7,"10/49","Pvt Ltd","1",12,"Y2","0"
"123",123,21634,0.624,"Male","Has relevent experience","Full time course","Graduate","STEM",5,"10000+","Pvt Ltd","1",50,"Y2","1"
"124",124,29529,0.903,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"100-500","Pvt Ltd","1",55,"Y1","0"
"125",125,4478,0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","2",7,"Y2","0"
"126",126,18272,0.92,"Male","Has relevent experience","Full time course","Graduate","Business Degree",22,"100-500","Pvt Ltd",">4",90,"Y4","0"
"127",127,30098,0.92,"Male","Has relevent experience","no_enrollment","Masters","Other",22,"100-500","Pvt Ltd",">4",8,"Y4","0"
"128",128,23825,0.624,"Male","No relevent experience","Full time course","Graduate","STEM",2,"10000+","Pvt Ltd","never",102,"Y1","1"
"129",129,7672,0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM",0,"10/49","Pvt Ltd","1",202,"Y1","1"
"130",130,5633,0.555,"Male","Has relevent experience","no_enrollment","Graduate","STEM",4,"100-500","Pvt Ltd","1",22,"Y2","0"
"131",131,30695,0.624,"Male","No relevent experience","Full time course","Graduate","STEM",3,"10000+","Pvt Ltd","never",42,"Y1","1"
"132",132,5573,0.92,"Male","No relevent experience","no_enrollment","Primary School","STEM",4,"10000+","Pvt Ltd","never",50,"Y2","0"
"133",133,24936,0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM",3,"50-99","Funded Startup","1",88,"Y1","1"
"134",134,397,0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"1000-4999","Pvt Ltd","4",81,"Y2","0"
"135",135,31602,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"10000+","Pvt Ltd","1",7,"Y4","0"
"136",136,5278,0.624,"Male","No relevent experience","no_enrollment","High School","STEM",3,"<10","Pvt Ltd","never",218,"Y1","0"
"137",137,16814,0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"10000+","Pvt Ltd",">4",62,"Y4","0"
"138",138,4865,0.926,"Male","No relevent experience","Part time course","Phd","STEM",22,"50-99","Public Sector",">4",10,"Y4","0"
"139",139,21563,0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM",3,"50-99","Pvt Ltd","1",36,"Y1","1"
"140",140,25114,0.804,"Male","No relevent experience","Full time course","Masters","STEM",6,"10/49","Pvt Ltd","1",17,"Y2","0"
"141",141,8528,0.92,"Male","Has relevent experience","Part time course","Graduate","STEM",22,"50-99","Public Sector",">4",108,"Y4","0"
"142",142,27667,0.92,"Male","No relevent experience","Full time course","Graduate","STEM",5,"50-99","Pvt Ltd","never",77,"Y2","0"
"143",143,2821,0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",15,"100-500","Pvt Ltd","2",8,"Y3","0"
"144",144,25495,0.727,"Female","Has relevent experience","no_enrollment","Graduate","STEM",9,"100-500","Funded Startup",">4",37,"Y2","0"
"145",145,28015,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13,"500-999","Pvt Ltd","2",162,"Y3","0"
"146",146,405,0.903,"Male","Has relevent experience","no_enrollment","Masters","STEM",19,"100-500","Pvt Ltd","4",4,"Y4","0"
"147",147,13891,0.884,"Female","No relevent experience","no_enrollment","Phd","STEM",3,"1000-4999","Public Sector","1",41,"Y1","0"
"148",148,8202,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",7,"50-99","Pvt Ltd",">4",29,"Y2","1"
"149",149,8751,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"100-500","Public Sector","1",11,"Y2","0"
"150",150,20744,0.92,"Male","No relevent experience","Full time course","High School","STEM",3,"10000+","Pvt Ltd","1",30,"Y1","0"
"151",151,25380,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",13,"100-500","Pvt Ltd",">4",39,"Y3","0"
"152",152,24617,0.804,"Male","Has relevent experience","Full time course","High School","STEM",9,"10/49","Pvt Ltd","1",16,"Y2","0"
"153",153,25473,0.698,"Male","No relevent experience","Full time course","High School","STEM",8,"<10","Early Stage Startup","never",39,"Y2","0"
"154",154,3500,0.92,"Other","No relevent experience","Part time course","High School","STEM",6,"50-99","Funded Startup","1",54,"Y2","0"
"155",155,28838,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"1000-4999","NGO",">4",74,"Y4","0"
"156",156,24846,0.624,"Male","No relevent experience","Full time course","Graduate","STEM",7,"10000+","Pvt Ltd","never",20,"Y2","1"
"157",157,1020,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"500-999","Pvt Ltd","1",162,"Y1","0"
"158",158,16994,0.762,"Other","Has relevent experience","Part time course","High School","STEM",3,"10/49","Pvt Ltd","1",262,"Y1","0"
"159",159,13135,0.836,"Male","Has relevent experience","no_enrollment","Masters","STEM",14,"100-500","Pvt Ltd","1",6,"Y3","0"
"160",160,14578,0.666,"Male","Has relevent experience","Part time course","Graduate","STEM",9,"10/49","Pvt Ltd","1",19,"Y2","0"
"161",161,16537,0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM",15,"10000+","Pvt Ltd",">4",134,"Y3","0"
"162",162,17358,0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",11,"10/49","Early Stage Startup","1",40,"Y3","0"
"163",163,7342,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",11,"100-500","Pvt Ltd","3",102,"Y3","0"
"164",164,4310,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",14,"1000-4999","Pvt Ltd","3",4,"Y3","0"
"165",165,22319,0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM",0,"<10","Early Stage Startup","1",14,"Y1","1"
"166",166,30912,0.923,"Male","No relevent experience","no_enrollment","Primary School","STEM",1,"10000+","Pvt Ltd","never",103,"Y1","0"
"167",167,13150,0.91,"Male","Has relevent experience","no_enrollment","Phd","STEM",22,"100-500","Pvt Ltd","2",27,"Y4","0"
"168",168,9407,0.926,"Male","Has relevent experience","no_enrollment","High School","STEM",7,"50-99","Pvt Ltd",">4",110,"Y2","0"
"169",169,1069,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"10000+","Pvt Ltd","2",57,"Y2","0"
"170",170,25418,0.92,"Male","Has relevent experience","Full time course","Graduate","STEM",6,"<10","Early Stage Startup","1",240,"Y2","0"
"171",171,5104,0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM",7,"10/49","Pvt Ltd","1",16,"Y2","0"
"172",172,13994,0.64,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"50-99","Pvt Ltd","never",40,"Y4","0"
"173",173,14598,0.794,"Male","No relevent experience","no_enrollment","Graduate","STEM",9,"5000-9999","Pvt Ltd","1",160,"Y2","0"
"174",174,9571,0.878,"Male","No relevent experience","Part time course","Graduate","STEM",10,"10/49","Early Stage Startup","1",25,"Y3","0"
"175",175,30854,0.516,"Male","Has relevent experience","no_enrollment","Graduate","STEM",9,"<10","Early Stage Startup","1",11,"Y2","1"
"176",176,29640,0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM",8,"10/49","Pvt Ltd","1",23,"Y2","0"
"177",177,12111,0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"<10","Pvt Ltd","2",56,"Y3","0"
"178",178,6085,0.924,"Male","No relevent experience","Full time course","Graduate","STEM",2,"<10","Early Stage Startup","1",39,"Y1","0"
"179",179,6052,0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"<10","Pvt Ltd",">4",56,"Y4","0"
"180",180,12934,0.926,"Male","Has relevent experience","Part time course","Graduate","STEM",19,"500-999","Pvt Ltd","2",64,"Y4","0"
"181",181,26419,0.855,"Female","Has relevent experience","Full time course","Graduate","STEM",6,"1000-4999","Pvt Ltd","2",41,"Y2","0"
"182",182,32534,0.804,"Male","Has relevent experience","Full time course","Graduate","STEM",9,"5000-9999","Pvt Ltd","1",74,"Y2","0"
"183",183,22395,0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM",3,"10/49","Public Sector","1",129,"Y1","1"
"184",184,7517,0.92,"Male","No relevent experience","no_enrollment","High School","STEM",4,"10000+","Pvt Ltd","1",45,"Y2","0"
"185",185,2793,0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"10/49","Pvt Ltd",">4",166,"Y4","0"
"186",186,25174,0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM",2,"50-99","Pvt Ltd","1",110,"Y1","0"
"187",187,33057,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",22,"5000-9999","Pvt Ltd",">4",29,"Y4","0"
"188",188,14688,0.743,"Male","No relevent experience","Full time course","Masters","STEM",11,"50-99","Pvt Ltd",">4",97,"Y3","0"
"189",189,23657,0.92,"Male","No relevent experience","no_enrollment","Primary School","STEM",4,"10000+","Pvt Ltd","never",14,"Y2","0"
"190",190,20322,0.804,"Male","Has relevent experience","no_enrollment","Phd","STEM",22,"100-500","Pvt Ltd",">4",206,"Y4","0"
"191",191,27530,0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",18,"500-999","Pvt Ltd",">4",94,"Y4","0"
"192",192,6790,0.698,"Male","Has relevent experience","Full time course","Masters","STEM",15,"<10","Pvt Ltd","1",100,"Y3","0"
"193",193,15701,0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"<10","Pvt Ltd","1",140,"Y3","0"
"194",194,21218,0.939,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",3,"10000+","Pvt Ltd","2",75,"Y1","0"
"195",195,1586,0.939,"Male","Has relevent experience","no_enrollment","High School","STEM",6,"50-99","Pvt Ltd","1",59,"Y2","0"
"196",196,9189,0.899,"Male","Has relevent experience","no_enrollment","High School","STEM",6,"50-99","Pvt Ltd","1",146,"Y2","0"
"197",197,10752,0.855,"Female","Has relevent experience","no_enrollment","Masters","STEM",9,"100-500","Pvt Ltd","2",42,"Y2","0"
"198",198,26320,0.698,"Male","Has relevent experience","Part time course","High School","STEM",9,"10000+","Pvt Ltd","4",74,"Y2","0"
"199",199,17460,0.91,"Female","Has relevent experience","no_enrollment","Graduate","STEM",7,"10000+","Pvt Ltd","1",22,"Y2","0"
"200",200,18657,0.804,"Male","No relevent experience","no_enrollment","Graduate","STEM",3,"100-500","Pvt Ltd","never",53,"Y1","1"
"201",201,9384,0.913,"Male","Has relevent experience","no_enrollment","Masters","STEM",22,"500-999","Pvt Ltd",">4",143,"Y4","0"
"202",202,4269,0.855,"Female","Has relevent experience","no_enrollment","Graduate","STEM",14,"50-99","Pvt Ltd","2",72,"Y3","0"
"203",203,14935,0.92,"Male","Has relevent experience","no_enrollment","High School","STEM",11,"500-999","Pvt Ltd","1",7,"Y3","0"
"204",204,28033,0.897,"Male","No relevent experience","Full time course","Graduate","STEM",3,"50-99","Early Stage Startup","1",182,"Y1","0"
"205",205,1568,0.915,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Pvt Ltd","4",50,"Y3","0"
"206",206,29440,0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",4,"<10","Early Stage Startup","2",60,"Y2","1"
"207",207,12875,0.698,"Male","No relevent experience","Full time course","Masters","STEM",3,"100-500","NGO","2",57,"Y1","0"
