"","X","Year","State","Commodity","Type","Production","Marketing","Measure","Domain","Chemi_family","Materials","Value"
"18",500,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","FENHEXAMID = 90209",15000
"19",501,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","FLUDIOXONIL = 71503",11100
"20",502,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","FLUOPYRAM = 80302",3900
"21",503,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","FLUXAPYROXAD = 138009",3900
"22",504,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","FOSETYL-AL = 123301",34200
"23",506,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","MEFENOXAM = 113502",9300
"24",508,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","MYCLOBUTANIL = 128857",5600
"25",509,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD = 90112",7000
"26",510,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","POLYOXIN D ZINC SALT = 230000",1400
"27",511,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","POTASSIUM BICARBON. = 73508",11300
"28",512,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","PROPICONAZOLE = 122101",1600
"29",513,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","PYRACLOSTROBIN = 99100",7400
"30",514,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","PYRIMETHANIL = 288201",9300
"31",515,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","QUINOLINE = 55459",4800
"32",517,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","SULFUR = 77501",686000
"33",518,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","TETRACONAZOLE = 120603",600
"34",519,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","THIOPHANATE-METHYL = 102001",3300
"35",520,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","THIRAM = 79801",90900
"36",521,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","TOTAL",1233500
"37",523,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","TRIFLOXYSTROBIN = 129112",4200
"38",524,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," FUNGICIDE","TRIFLUMIZOLE = 128879",7200
"39",525,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," HERBICIDE","CARFENTRAZONE-ETHYL = 128712",200
"40",526,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," HERBICIDE","FLUMIOXAZIN = 129034",1100
"41",531,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," HERBICIDE","OXYFLUORFEN = 111601",1300
"42",533,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," HERBICIDE","PENDIMETHALIN = 108501",5500
"43",535,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," HERBICIDE","TOTAL",10200
"44",536,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","ABAMECTIN = 122804",500
"45",537,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","ACEQUINOCYL = 6329",5400
"46",538,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","ACETAMIPRID = 99050",2800
"47",539,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","AZADIRACHTIN = 121701",800
"48",541,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","BIFENAZATE = 586",17900
"49",542,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","BIFENTHRIN = 128825",7300
"50",550,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE = 90100",1900
"51",553,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","CYANTRANILIPROLE = 90098",900
"52",554,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","CYFLUMETOFEN = 138831",5200
"53",555,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","ETOXAZOLE = 107091",1200
"54",557,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","FENPROPATHRIN = 127901",6000
"55",558,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","FENPYROXIMATE = 129131",400
"56",559,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","FLONICAMID = 128016",3300
"57",560,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","FLUPYRADIFURONE = 122304",4800
"58",562,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","HEXYTHIAZOX = 128849",2300
"59",563,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","IMIDACLOPRID = 129099",3500
"60",564,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","MALATHION = 57701",56700
"61",565,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","METHOXYFENOZIDE = 121027",3300
"62",566,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","NALED = 34401",12700
"63",567,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","NEEM OIL = 25006",1100
"64",568,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","NEEM OIL, CLAR. HYD. = 25007",51600
"65",569,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","NOVALURON = 124002",4600
"66",570,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","PIPERONYL BUTOXIDE = 67501",1200
"67",572,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","PYRETHRINS = 69001",200
"68",574,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","PYRIPROXYFEN = 129032",100
"69",576,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","SPINETORAM = 110007",2300
"70",577,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","SPINOSAD = 110003",600
"71",578,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","SPIROMESIFEN = 24875",1800
"72",579,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","SULFOXAFLOR = 5210",1000
"73",580,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","THIAMETHOXAM = 60109",1400
"74",581,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," INSECTICIDE","TOTAL",212600
"75",589,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","CHLOROPICRIN = 81501",6146600
"76",590,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","DICHLOROPROPENE = 29001",1045700
"77",591,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","FLUTRIAFOL = 128940",1700
"78",594,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","IRON PHOSPHATE = 34903",100
"79",596,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","METAM-POTASSIUM = 39002",254000
"80",597,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","METAM-SODIUM = 39003",244000
"81",601,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","REYNOUTRIA SACHALINE = 55809",600
"82",602,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","CHEMICAL"," OTHER","TOTAL",7698900
"83",604,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","FERTILIZER",NA,"NITROGEN",668000
"84",605,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","FERTILIZER",NA,"PHOSPHATE",493000
"85",606,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","FERTILIZER",NA,"POTASH",430000
"86",607,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB","FERTILIZER",NA,"SULFUR",57000
"87",608,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN = 128810",0.205
"88",614,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BLAD = 30006",0.482
"89",615,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BORAX DECAHYDRATE = 11102",0.023
"90",616,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BOSCALID = 128008",0.337
"91",618,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CAPTAN = 81301",1.739
"92",621,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CYFLUFENAMID = 555550",0.023
"93",622,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CYPRODINIL = 288202",0.32
"94",623,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","DIFENOCONAZOLE = 128847",0.114
"95",624,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FENHEXAMID = 90209",0.623
"96",625,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FLUDIOXONIL = 71503",0.213
"97",626,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FLUOPYRAM = 80302",0.113
"98",627,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FLUXAPYROXAD = 138009",0.168
"99",628,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FOSETYL-AL = 123301",3.997
"100",630,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MEFENOXAM = 113502",0.493
"101",632,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MYCLOBUTANIL = 128857",0.106
"102",633,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD = 90112",0.303
"103",634,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","POLYOXIN D ZINC SALT = 230000",0.073
"104",635,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","POTASSIUM BICARBON. = 73508",2.381
"105",636,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PROPICONAZOLE = 122101",0.112
"106",637,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PYRACLOSTROBIN = 99100",0.169
"107",638,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PYRIMETHANIL = 288201",0.51
"108",639,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","QUINOLINE = 55459",0.097
"109",641,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","SULFUR = 77501",3.656
"110",642,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","TETRACONAZOLE = 120603",0.039
"111",643,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","THIOPHANATE-METHYL = 102001",0.669
"112",644,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","THIRAM = 79801",2.219
"113",646,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","TRIFLOXYSTROBIN = 129112",0.113
"114",647,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","TRIFLUMIZOLE = 128879",0.23
"115",648,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","CARFENTRAZONE-ETHYL = 128712",0.024
"116",649,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","FLUMIOXAZIN = 129034",0.089
"117",654,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","OXYFLUORFEN = 111601",0.313
"118",656,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","PENDIMETHALIN = 108501",1.202
"119",658,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ABAMECTIN = 122804",0.019
"120",659,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ACEQUINOCYL = 6329",0.297
"121",660,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ACETAMIPRID = 99050",0.126
"122",661,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","AZADIRACHTIN = 121701",0.034
"123",663,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","BIFENAZATE = 586",0.496
"124",664,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","BIFENTHRIN = 128825",0.109
"125",672,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE = 90100",0.067
"126",675,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CYANTRANILIPROLE = 90098",0.111
"127",676,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CYFLUMETOFEN = 138831",0.178
"128",677,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ETOXAZOLE = 107091",0.135
"129",679,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","FENPROPATHRIN = 127901",0.286
"130",680,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","FENPYROXIMATE = 129131",0.103
"131",681,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","FLONICAMID = 128016",0.085
"132",682,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","FLUPYRADIFURONE = 122304",0.158
"133",684,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","HEXYTHIAZOX = 128849",0.177
"134",685,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","IMIDACLOPRID = 129099",0.515
"135",686,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","MALATHION = 57701",1.991
"136",687,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","METHOXYFENOZIDE = 121027",0.174
"137",688,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","NALED = 34401",0.904
"138",689,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","NEEM OIL = 25006",0.095
"139",690,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","NEEM OIL, CLAR. HYD. = 25007",5.151
"140",691,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","NOVALURON = 124002",0.059
"141",692,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","PIPERONYL BUTOXIDE = 67501",0.478
"142",694,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","PYRETHRINS = 69001",0.044
"143",696,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","PYRIPROXYFEN = 129032",0.067
"144",698,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPINETORAM = 110007",0.068
"145",699,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPINOSAD = 110003",0.093
"146",700,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPIROMESIFEN = 24875",0.243
"147",701,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SULFOXAFLOR = 5210",0.069
"148",702,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","THIAMETHOXAM = 60109",0.062
"149",710,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","CHLOROPICRIN = 81501",244.066
"150",711,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","DICHLOROPROPENE = 29001",83.557
"151",712,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","FLUTRIAFOL = 128940",0.112
"152",715,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","IRON PHOSPHATE = 34903",0.161
"153",717,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","METAM-POTASSIUM = 39002",214.011
"154",718,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","METAM-SODIUM = 39003",228.063
"155",722,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","CHEMICAL"," OTHER","REYNOUTRIA SACHALINE = 55809",0.191
"156",724,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","FERTILIZER",NA,"NITROGEN",6
"157",725,2019,"CALIFORNIA","STRAWBERRIES","BEARING",NA,"APPLICATIONS","LB / ACRE / APPLICATION","FERTILIZER",NA,"PHOSPHATE",8
