,Year,State,Commodity,Type,Production,Marketing,Measure,Domain,Chemi_family,Materials,Value
66,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,COPPER OCTANOATE = 23306,(D)
67,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,COPPER OXIDE = 25601,(D)
68,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,CYPRODINIL = 288202,900
69,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,FENHEXAMID = 90209,(D)
70,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,FLUDIOXONIL = 71503,600
71,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,FLUOPYRAM = 80302,(D)
72,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,FLUXAPYROXAD = 138009,(D)
73,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,IPRODIONE = 109801,(D)
74,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,ISOFETAMID = 270000,(D)
75,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,MEFENOXAM = 113502,(D)
76,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,MYCLOBUTANIL = 128857,300
77,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,OXATHIAPIPROLIN = 128111,(D)
78,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,POLYOXIN D ZINC SALT = 230000,(D)
79,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,POTASSIUM BICARBON. = 73508,(D)
80,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,PROPICONAZOLE = 122101,(D)
81,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,PYRACLOSTROBIN = 99100,200
82,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,PYRIMETHANIL = 288201,(D)
83,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,QUINOLINE = 55459,(D)
84,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,STREPTOMYCES LYDICUS = 6327,(NA)
85,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,SULFUR = 77501,(D)
86,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,TOTAL,24000
87,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,TRIFLOXYSTROBIN = 129112,(D)
88,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, FUNGICIDE,TRIFLUMIZOLE = 128879,(D)
89,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,CARFENTRAZONE-ETHYL = 128712,(D)
90,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,CLETHODIM = 121011,(D)
91,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,FLUMIOXAZIN = 129034,(D)
92,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,GLYPHOSATE POT. SALT = 103613,(D)
93,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,OXYFLUORFEN = 111601,(D)
94,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,PARAQUAT = 61601,(D)
95,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,PENDIMETHALIN = 108501,(D)
96,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, HERBICIDE,TOTAL,200
97,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,ABAMECTIN = 122804,(D)
98,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,ACEQUINOCYL = 6329,600
99,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,ACETAMIPRID = 99050,(D)
100,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,AZADIRACHTIN = 121701,(D)
101,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BIFENAZATE = 586,700
102,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BIFENTHRIN = 128825,(D)
103,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BT KURSTAK ABTS-1857 = 6523,(NA)
104,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BT KURSTAKI ABTS-351 = 6522,(NA)
105,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BT KURSTAKI EG7841 = 6453,(NA)
106,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BT KURSTAKI SA-11 = 6519,(NA)
107,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,BT SUB AIZAWAI GC-91 = 6426,(NA)
108,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,CHLORANTRANILIPROLE = 90100,(D)
109,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,CYFLUMETOFEN = 138831,(D)
110,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,DELTAMETHRIN = 97805,(D)
111,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,DIAZINON = 57801,(D)
112,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,ETOXAZOLE = 107091,(D)
113,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,HEXYTHIAZOX = 128849,(D)
114,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,IMIDACLOPRID = 129099,(D)
115,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,MALATHION = 57701,(D)
116,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,METHOXYFENOZIDE = 121027,300
117,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,NALED = 34401,(D)
118,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,NEEM OIL = 25006,(D)
119,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,"NEEM OIL, CLAR. HYD. = 25007",(D)
120,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,PETROLEUM DISTILLATE = 63503,(D)
121,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,PIPERONYL BUTOXIDE = 67501,(D)
122,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,POTASSIUM SALTS = 79021,(D)
123,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,PYRETHRINS = 69001,200
124,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,SPINETORAM = 110007,200
125,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,SPINOSAD = 110003,600
126,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,SPIROMESIFEN = 24875,(D)
127,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,THIAMETHOXAM = 60109,(D)
128,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,TOTAL,45300
129,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, INSECTICIDE,ZETA-CYPERMETHRIN = 129064,200
130,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,CAPRIC ACID = 128955,(D)
131,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,CAPRYLIC ACID = 128919,(D)
132,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,CHLOROPICRIN = 81501,(D)
133,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,DICHLOROPROPENE = 29001,(D)
134,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,FLUTRIAFOL = 128940,(D)
135,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,IRON PHOSPHATE = 34903,(D)
136,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,METALDEHYDE = 53001,(D)
137,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,MINERAL OIL = 63502,(D)
138,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,PAECILOMYCES FUMOSOR = 115002,(D)
139,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,CHEMICAL, OTHER,TOTAL,98100
140,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,FERTILIZER,NA,NITROGEN,84000
141,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,FERTILIZER,NA,PHOSPHATE,(D)
142,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,FERTILIZER,NA,POTASH,(D)
143,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,LB,FERTILIZER,NA,SULFUR,(D)
144,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,AZOXYSTROBIN = 128810,(D)
145,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482,(NA)
146,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,BACILLUS SUBTILIS = 6479,(NA)
147,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,BORAX DECAHYDRATE = 11102,(D)
148,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,BOSCALID = 128008,0.358
149,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,CALCIUM POLYSULFIDE = 76702,(D)
150,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,CAPTAN = 81301,(D)
151,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,COPPER OCTANOATE = 23306,(D)
152,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,COPPER OXIDE = 25601,(D)
153,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,CYPRODINIL = 288202,0.324
154,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,FENHEXAMID = 90209,(D)
155,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,FLUDIOXONIL = 71503,0.216
156,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,FLUOPYRAM = 80302,(D)
157,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,FLUXAPYROXAD = 138009,(D)
158,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,IPRODIONE = 109801,(D)
159,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,ISOFETAMID = 270000,(D)
160,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,MEFENOXAM = 113502,(D)
161,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,MYCLOBUTANIL = 128857,0.079
162,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,OXATHIAPIPROLIN = 128111,(D)
163,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,POLYOXIN D ZINC SALT = 230000,(D)
164,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,POTASSIUM BICARBON. = 73508,(D)
165,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,PROPICONAZOLE = 122101,(D)
166,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,PYRACLOSTROBIN = 99100,0.182
167,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,PYRIMETHANIL = 288201,(D)
168,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,QUINOLINE = 55459,(D)
169,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,STREPTOMYCES LYDICUS = 6327,(NA)
170,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,SULFUR = 77501,(D)
171,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,TRIFLOXYSTROBIN = 129112,(D)
172,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, FUNGICIDE,TRIFLUMIZOLE = 128879,(D)
173,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,CARFENTRAZONE-ETHYL = 128712,(D)
174,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,CLETHODIM = 121011,(D)
175,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,FLUMIOXAZIN = 129034,(D)
176,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,GLYPHOSATE POT. SALT = 103613,(D)
177,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,OXYFLUORFEN = 111601,(D)
178,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,PARAQUAT = 61601,(D)
179,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, HERBICIDE,PENDIMETHALIN = 108501,(D)
180,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, INSECTICIDE,ABAMECTIN = 122804,(D)
181,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, INSECTICIDE,ACEQUINOCYL = 6329,0.303
182,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, INSECTICIDE,ACETAMIPRID = 99050,(D)
183,2019,CALIFORNIA,RASPBERRIES,BEARING,NA,APPLICATIONS,"LB / ACRE / APPLICATION, AVG",CHEMICAL, INSECTICIDE,AZADIRACHTIN = 121701,(D)
