Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,152,
SURVEY,2019,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, PROCESSING , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.42,
SURVEY,2019,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.94,
SURVEY,2019,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.42,
SURVEY,2019,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.48,
SURVEY,2019,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.19,
SURVEY,2019,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.461,
SURVEY,2019,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.886,
SURVEY,2019,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.35,
SURVEY,2019,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.37,
SURVEY,2019,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.85,
SURVEY,2019,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.15,
SURVEY,2019,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.44,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.7,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.871,
SURVEY,2019,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.23,
SURVEY,2019,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.58,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.27,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.452,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,RASPBERRIES,"RASPBERRIES, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.9,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,RASPBERRIES,"RASPBERRIES, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.542,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,129,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, PROCESSING , PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,52.8,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.941,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.81,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.55,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,RASPBERRIES,"RASPBERRIES , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.559,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,RASPBERRIES,"RASPBERRIES, FRESH MARKET , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,RASPBERRIES,"RASPBERRIES, PROCESSING , PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED, (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,300",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"73,700,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME , YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"10,100",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"199,930,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, FRESH MARKET , PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"56,160,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, NOT SOLD , PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,920,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,530,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, PROCESSING , PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"15,620,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED , PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"204,460,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED , PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"71,780,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES , ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,500",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES , PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"143,500,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES , YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"19,100",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",300,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",900,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",600,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (IPRODIONE = 109801)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",300,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",200,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCES LYDICUS = 6327)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","24,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLETHODIM = 121011)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)",200,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",600,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",700,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI EG7841 = 6453)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUB AIZAWAI GC-91 = 6426)", (NA),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)", (D),
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, BEARING , APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)", (D),
